iter	Passed	Remaining
983	18717	304
984	18740	285
985	18763	266
986	18784	247
987	18794	228
988	18806	209
989	18826	190
990	18851	171
991	18874	152
992	18895	133
993	18914	114
994	18937	95
995	18949	76
996	18961	57
997	18980	38
998	18999	19
999	19019	0
